DATE,HPI
1975-01-01,14
1976-01-01,16.14
1977-01-01,19.73
1978-01-01,25.3
1979-01-01,29.51
1980-01-01,32.93
1981-01-01,34.19
1982-01-01,28.88
1983-01-01,34.34
1984-01-01,35.53
1985-01-01,36.68
1986-01-01,37.71
1987-01-01,39.4
1988-01-01,42.71
1989-01-01,50.92
1990-01-01,63.06
1991-01-01,64.63
1992-01-01,65.31
1993-01-01,65.94
1994-01-01,67.58
1995-01-01,69.63
1996-01-01,71.9
1997-01-01,76.98
1998-01-01,83.81
1999-01-01,90.34
2000-01-01,100
2001-01-01,106.13
2002-01-01,110.53
2003-01-01,113.61
2004-01-01,123.5
2005-01-01,143.66
2006-01-01,166.54
2007-01-01,179.5
2008-01-01,174.26
2009-01-01,154.86
2010-01-01,143.21
2011-01-01,134.25
2012-01-01,133.14
2013-01-01,142.86
2014-01-01,158.03
2015-01-01,170.85
2016-01-01,193.63
2017-01-01,218.23
2018-01-01,238.22
2019-01-01,242.37
2020-01-01,250.68
2021-01-01,278.77
2022-01-01,323.66
2023-01-01,323.98
